# Z_MID      BIN1       BIN2       BIN3       BIN4       BIN5       BIN6
2.50000000e-02 4.59077727e-03 1.31118751e-03 6.09650483e-04 2.28369748e-04 3.10198498e-04 1.87228040e-04
7.50000000e-02 1.72576383e-02 1.69398503e-03 1.72404341e-03 2.19596621e-03 1.59667996e-03 4.02962556e-03
1.25000000e-01 6.42045327e-02 6.45915648e-03 5.25084211e-03 1.44405612e-03 2.83566414e-03 4.54067418e-03
1.75000000e-01 8.84367941e-02 1.11834193e-02 6.19152093e-03 1.80441253e-03 1.80243810e-03 3.22140014e-03
2.25000000e-01 1.35531511e-01 2.45745487e-02 1.68194778e-02 3.92351345e-03 2.96120593e-03 5.25264341e-03
2.75000000e-01 1.44455041e-01 3.33999179e-02 2.64129019e-02 4.62539717e-03 3.41789032e-03 4.13938541e-03
3.25000000e-01 1.52928954e-01 6.63066781e-02 2.98088167e-02 6.54500432e-03 4.75237384e-03 2.25125807e-03
3.75000000e-01 1.33455816e-01 8.83350743e-02 2.96043779e-02 4.35146998e-03 4.53864859e-03 3.84895317e-03
4.25000000e-01 1.03495116e-01 1.49198536e-01 5.17844270e-02 3.63619940e-03 4.75000265e-03 3.39065555e-03
4.75000000e-01 4.71231882e-02 2.00500514e-01 7.36425549e-02 5.75833438e-03 5.05835240e-03 2.80118562e-03
5.25000000e-01 4.01256764e-02 1.82900494e-01 1.08198639e-01 1.09898835e-02 7.62472307e-03 3.40366594e-03
5.75000000e-01 2.34100422e-02 1.24772849e-01 1.53684106e-01 2.97968784e-02 1.10437357e-02 6.62912059e-03
6.25000000e-01 1.57225199e-02 6.35870981e-02 1.95897273e-01 6.35431150e-02 1.84348459e-02 7.97026766e-03
6.75000000e-01 9.36488729e-03 2.08338437e-02 1.46008562e-01 1.17766957e-01 3.22649085e-02 1.43274512e-02
7.25000000e-01 5.07692913e-03 7.84691044e-03 7.75840783e-02 1.60729696e-01 4.94651101e-02 1.74490332e-02
7.75000000e-01 2.34017353e-03 5.02304011e-03 2.90060193e-02 1.61913437e-01 6.73253193e-02 2.34977585e-02
8.25000000e-01 1.06229944e-03 1.56688849e-03 1.47347027e-02 1.33123446e-01 9.20123155e-02 2.12445260e-02
8.75000000e-01 6.77231835e-04 1.40489782e-03 5.13601505e-03 1.00037166e-01 1.09023404e-01 3.25624898e-02
9.25000000e-01 1.00474742e-03 9.10553134e-04 4.12294253e-03 6.10995612e-02 1.08228916e-01 3.87439534e-02
9.75000000e-01 1.15773897e-03 1.07999141e-03 2.54620146e-03 3.63417216e-02 1.12043196e-01 4.83846726e-02
1.02500000e+00 5.34702262e-04 7.10486401e-04 3.70136133e-03 2.80188130e-02 9.42333177e-02 6.46698307e-02
1.07500000e+00 8.11738561e-04 9.59292607e-04 2.18929874e-03 1.56977800e-02 6.96634313e-02 5.08474659e-02
1.12500000e+00 5.38764664e-04 3.63714501e-04 2.93904245e-03 1.04121406e-02 5.67222146e-02 5.19782721e-02
1.17500000e+00 3.40969091e-04 1.08598442e-03 2.15413932e-03 9.73795517e-03 4.09806125e-02 7.41580222e-02
1.22500000e+00 5.11521191e-04 7.46405269e-04 2.38608794e-03 8.46523139e-03 2.89563165e-02 6.29327219e-02
1.27500000e+00 1.50085233e-03 9.54073832e-04 1.65044194e-03 4.46178529e-03 2.08056376e-02 6.02554678e-02
1.32500000e+00 4.89741939e-04 1.06695957e-04 1.31035113e-03 5.57494190e-03 1.27851182e-02 6.82369690e-02
1.37500000e+00 4.98529976e-04 4.48693624e-04 7.34452263e-04 3.14260560e-03 1.26456108e-02 5.70769353e-02
1.42500000e+00 1.99087537e-04 6.18467900e-05 8.10637373e-04 1.73814773e-03 5.73577169e-03 4.35587497e-02
1.47500000e+00 9.19123625e-05 7.35778205e-05 4.48584348e-04 5.78791527e-04 4.97765191e-03 3.36380336e-02
1.52500000e+00 2.48611215e-05 1.56808797e-04 4.56052122e-04 4.61288929e-04 2.64181863e-03 3.11284797e-02
1.57500000e+00 5.98849457e-06 7.90469676e-05 1.60703081e-04 1.73185039e-04 2.08271749e-03 2.53972267e-02
1.62500000e+00 1.01798336e-04 1.50052014e-04 6.71274914e-05 3.39218306e-04 1.95033648e-03 2.66828676e-02
1.67500000e+00 0.00000000e+00 3.07974011e-05 2.45380005e-05 1.61495301e-04 1.31297355e-03 1.00705108e-02
1.72500000e+00 1.83580604e-05 0.00000000e+00 0.00000000e+00 4.35168746e-05 1.23744738e-03 9.05807066e-03
1.77500000e+00 7.29558230e-06 0.00000000e+00 8.57127361e-05 0.00000000e+00 9.12889042e-04 9.13315752e-03
1.82500000e+00 1.32115693e-04 0.00000000e+00 2.87480161e-05 1.37674263e-04 1.14393684e-03 7.61019574e-03
1.87500000e+00 3.38107094e-05 0.00000000e+00 7.83270524e-05 1.89784750e-05 1.67312881e-04 7.34108651e-03
1.92500000e+00 1.67767857e-04 6.55677683e-07 7.44881732e-05 5.15826999e-05 1.61732405e-05 6.67796725e-03
1.97500000e+00 5.85410404e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00 3.16692424e-04 5.97214584e-03
2.02500000e+00 1.17666340e-04 4.10878621e-05 5.82357507e-05 1.29059026e-04 1.65758854e-04 7.64742850e-03
2.07500000e+00 1.66869679e-04 0.00000000e+00 7.63292053e-05 7.92000339e-05 0.00000000e+00 4.45006533e-03
2.12500000e+00 1.74503812e-06 0.00000000e+00 7.86456078e-05 2.37183761e-04 8.41774207e-05 7.53355181e-03
2.17500000e+00 4.45535960e-05 2.09449097e-06 1.10381708e-04 0.00000000e+00 1.63654163e-04 5.22005735e-03
2.22500000e+00 1.96859547e-04 6.66508901e-05 5.21546381e-05 5.38262217e-05 0.00000000e+00 3.40583499e-03
2.27500000e+00 1.09034350e-04 0.00000000e+00 9.20512789e-05 1.36439115e-04 2.54473520e-04 2.31323175e-03
2.32500000e+00 1.83392827e-04 0.00000000e+00 1.96190705e-04 6.99229448e-05 3.03749668e-04 4.23358290e-03
2.37500000e+00 3.38517345e-05 2.89147938e-05 1.11884663e-04 7.09311444e-06 4.22131165e-05 3.52536275e-03
2.42500000e+00 8.12064563e-05 2.72927649e-05 3.16231679e-04 0.00000000e+00 1.92542142e-06 1.62361903e-03
