# LSST Y10 lens curves; original Fisher._makeLensPZ convention
# Reference: https://arxiv.org/abs/2507.01374 Figure 3
# Source: fisherA2Z/data/nzdist.txt, dneff column
# Original 40-point parent integration; dense Gaussian evaluation and normalization
# Raw n_i(z), NOT unit-integral PDFs and NOT galaxies/arcmin^2/z
# Z_MID	BIN1	BIN2	BIN3	BIN4	BIN5	BIN6	BIN7	BIN8	BIN9	BIN10
0.000000000000e+00	6.945655912836e-10	3.483961651515e-16	3.815290727648e-23	2.740981867395e-30	2.258734066776e-37	2.722858501617e-44	4.868636152788e-51	2.370451538897e-57	1.794417910908e-63	3.029021973599e-69
1.000000000000e-03	8.294052053620e-10	4.311333817717e-16	4.838306491328e-23	3.534068043960e-30	2.944324742227e-37	3.573729347994e-44	6.414770038301e-51	3.128424447527e-57	2.368273056772e-63	3.993009858054e-69
2.000000000000e-03	9.897178821190e-10	5.331938874493e-16	6.132387685439e-23	4.554521940077e-30	3.836445826464e-37	4.688788866470e-44	8.449166553394e-51	4.127559646389e-57	3.124820883926e-63	5.262522303678e-69
3.000000000000e-03	1.180177269966e-09	6.590128758794e-16	7.768484748237e-23	5.866915550330e-30	4.996837044086e-37	6.149532887868e-44	1.112514440997e-50	5.444200880393e-57	4.121958911849e-63	6.933988629022e-69
4.000000000000e-03	1.406287910054e-09	8.140252279958e-16	9.835886753295e-23	7.553983333870e-30	6.505550584406e-37	8.062431032761e-44	1.464388972053e-50	7.178736652861e-57	5.435848746665e-63	9.134145164047e-69
5.000000000000e-03	1.674527980113e-09	1.004886602011e-15	1.244690027393e-22	9.721680738474e-30	8.466339597848e-37	1.056652852183e-43	1.926931378889e-50	9.463134199634e-57	7.166650823212e-63	1.202952009882e-68
6.000000000000e-03	1.992515656389e-09	1.239742454828e-15	1.574270610668e-22	1.250563745170e-29	1.101361944910e-36	1.384334618266e-43	2.534749552781e-50	1.247082178539e-56	9.446051344953e-63	1.583887398085e-68
7.000000000000e-03	2.369202841732e-09	1.528555170393e-15	1.990068628879e-22	1.607938597417e-29	1.432145698770e-36	1.812976864993e-43	3.333211472447e-50	1.642964742620e-56	1.244713885355e-62	2.084951290826e-68
8.000000000000e-03	2.815100575330e-09	1.883501583445e-15	2.514358541555e-22	2.066484887161e-29	1.861517377163e-36	2.373481646181e-43	4.381771108798e-50	2.163886668726e-56	1.639736040734e-62	2.743867475397e-68
9.000000000000e-03	3.342541088441e-09	2.319455728473e-15	3.175095909195e-22	2.654569826966e-29	2.418631704030e-36	3.106146435063e-43	5.758316262431e-50	2.849140562343e-56	2.159551304646e-62	3.610155916885e-68
1.000000000000e-02	3.965982211619e-09	2.854574698369e-15	4.007347253679e-22	3.408436605655e-29	3.141196776981e-36	4.063501340104e-43	7.564850450819e-50	3.750302823393e-56	2.843402136406e-62	4.748805632506e-68
1.100000000000e-02	4.702360684792e-09	3.511009166261e-15	5.055074895151e-22	4.374369199584e-29	4.077963177718e-36	5.313997201605e-43	9.934915707459e-50	4.935053837280e-56	3.742813784968e-62	6.245086218120e-68
1.200000000000e-02	5.571501885808e-09	4.315764527825e-15	6.373363650205e-22	5.611446104543e-29	5.291931473746e-36	6.946797963026e-43	1.304328648334e-49	6.492179957523e-56	4.925420696025e-62	8.210849488125e-68
1.300000000000e-02	6.596594591362e-09	5.301743903407e-15	8.031197231987e-22	7.195041514641e-29	6.864483708436e-36	9.078005635414e-43	1.711862532088e-49	8.538120919913e-56	6.479979278610e-62	1.079278069542e-67
1.400000000000e-02	7.804740633843e-09	6.509010570212e-15	1.011491812632e-21	9.221274686362e-29	8.900702812622e-36	1.185874309157e-42	2.245999972296e-49	1.122553761605e-55	8.522933088838e-62	1.418319984626e-67
1.500000000000e-02	9.227590738055e-09	7.986314977533e-15	1.273253679311e-21	1.181266155329e-28	1.153621861449e-35	1.548564524710e-42	2.945843109442e-49	1.475452031399e-55	1.120700888861e-61	1.863419777933e-67
1.600000000000e-02	1.090207943472e-08	9.792940573588e-15	1.601909569021e-21	1.512528999338e-28	1.494601484932e-35	2.021447117050e-42	3.862499950423e-49	1.938724669761e-55	1.473246878086e-61	2.447613205333e-67
1.700000000000e-02	1.287127377738e-08	1.200093352718e-14	2.014334259760e-21	1.935792513433e-28	1.935575411323e-35	2.637775896089e-42	5.062748656865e-49	2.546714584239e-55	1.936183515142e-61	3.214182136944e-67
1.800000000000e-02	1.518535266278e-08	1.469779440073e-14	2.531602819418e-21	2.476355828514e-28	2.505633451131e-35	3.440771555659e-42	6.633813443778e-49	3.344394579980e-55	2.543915506130e-61	4.219818649908e-67
1.900000000000e-02	1.790273590224e-08	1.798972532546e-14	3.180021746187e-21	3.166404824587e-28	3.242259231419e-35	4.486588265186e-42	8.689587242813e-49	4.390640138046e-55	3.341519673995e-61	5.538761947443e-67
2.000000000000e-02	2.109138484625e-08	2.200554472178e-14	3.992409651835e-21	4.046867408129e-28	4.193732135841e-35	5.848157033930e-42	1.137873670605e-48	5.762504432220e-55	4.388039598466e-61	7.268205885843e-67
