# LSST Y10 lens forecast; fisherA2Z fisher_flex._default_lens_sample
# Source: lsst_data_repo/fisherA2Z/src/fisherA2Z/data/nzdist.txt (dneff)
# 10 uniform photo-z bins: 0.2 to 1.2; sigma_z = 0.03 * (1 + z)
# Each BIN integrates to 1 over z_mid.
# Z_MID	BIN1	BIN2	BIN3	BIN4	BIN5	BIN6	BIN7	BIN8	BIN9	BIN10
5.000000000000e-02	6.298514724576e-06	1.111296247303e-11	3.812329969793e-18	6.528707860270e-25	9.894034574441e-32	1.875193825414e-38	5.454965606110e-45	2.734935032594e-51	2.508141467539e-57	4.308185802044e-63
1.500000000000e-01	2.702169717293e-01	4.625551439288e-05	4.112613341266e-10	7.132043047801e-16	5.544298989400e-22	3.272739944571e-28	2.047794353143e-34	1.673860095283e-40	2.030801106064e-46	3.939086018759e-52
2.500000000000e-01	9.459556608769e+00	4.332750841430e-01	2.248656732313e-04	7.639594259846e-09	5.246506138721e-14	1.517418031085e-19	2.991218160676e-25	5.513905020614e-31	1.168796847754e-36	3.255233299888e-42
3.500000000000e-01	2.702169717293e-01	9.133357320669e+00	6.231697068656e-01	8.024098465577e-04	8.383860664373e-08	1.869077863314e-12	1.700110932674e-17	9.776139481285e-23	4.781530711892e-28	2.431388675975e-33
4.500000000000e-01	6.298514724576e-06	4.332750841430e-01	8.753210854100e+00	8.264028813969e-01	2.262394010509e-03	6.116147601627e-07	3.759878879093e-11	9.329180179210e-16	1.390436453161e-20	1.641391858998e-25
5.500000000000e-01	1.197973909145e-13	4.625551439288e-05	6.231697068656e-01	8.345589402234e+00	1.030962234065e+00	5.316880898111e-03	3.235473691632e-06	4.791677228326e-10	2.874032125861e-14	1.001511120067e-18
6.500000000000e-01	1.859260549830e-24	1.111296247303e-11	2.248656732313e-04	8.264028813969e-01	7.933550576171e+00	1.227903723795e+00	1.083351313688e-02	1.324645334569e-05	4.222681923719e-09	5.523125246431e-13
7.500000000000e-01	2.354598340194e-38	6.008453628376e-21	4.112613341266e-10	8.024098465577e-04	1.030962234065e+00	7.533557567381e+00	1.411458713596e+00	1.970968374958e-02	4.410028514248e-05	2.752958236103e-08
8.500000000000e-01	2.433196017012e-55	7.310753028569e-33	3.812329969793e-18	7.639594259846e-09	2.262394010509e-03	1.227903723795e+00	7.155409075512e+00	1.578438556537e+00	3.273789138618e-02	1.240223537954e-04
9.500000000000e-01	2.051733948525e-75	2.001833925517e-47	1.791187183356e-28	7.132043047801e-16	8.383860664374e-08	5.316880898111e-03	1.411458713596e+00	6.803677025563e+00	1.727492963694e+00	5.049936664234e-02
1.050000000000e+00	1.411720353768e-98	1.233560659285e-64	4.265494138276e-41	6.528707860270e-25	5.246506138722e-14	6.116147601627e-07	1.083351313688e-02	1.578438556537e+00	6.479450080825e+00	1.858478359116e+00
1.150000000000e+00	7.926108122028e-125	1.710643489635e-84	5.148439486823e-56	5.860168899728e-36	5.544298989400e-22	1.869077863314e-12	3.235473691632e-06	1.970968374958e-02	1.727492963694e+00	6.181796448715e+00
1.250000000000e+00	3.631240325512e-154	5.338571215458e-107	3.149631623142e-73	5.157778038323e-49	9.894034574441e-32	1.517418031085e-19	3.759878879093e-11	1.324645334569e-05	3.273789138618e-02	1.858478359116e+00
1.350000000000e+00	1.357480742235e-186	3.749359684272e-132	9.766114203536e-93	4.451278647303e-64	2.981607887095e-43	3.272739944571e-28	1.700110932674e-17	4.791677228326e-10	4.410028514248e-05	5.049936664234e-02
1.450000000000e+00	4.140912426937e-222	5.925918893511e-160	1.534835096535e-114	3.766834440223e-81	1.517322707470e-56	1.875193825413e-38	2.991218160676e-25	9.329180179210e-16	4.222681923719e-09	1.240223537954e-04
1.550000000000e+00	1.030723313006e-260	2.107758425975e-190	1.222586317411e-138	3.125632407217e-100	1.303934300803e-71	2.854363253881e-50	2.047794353143e-34	9.776139481285e-23	2.874032125861e-14	2.752958236103e-08
1.650000000000e+00	2.093494558356e-302	1.687145345920e-223	4.936000866503e-165	2.543131911062e-121	1.892272972127e-88	1.154252249364e-63	5.454965606110e-45	5.513905020614e-31	1.390436453161e-20	5.523125246431e-13
1.750000000000e+00	0.000000000000e+00	3.039139922354e-259	1.010063808183e-193	2.028941341946e-144	4.637267902185e-107	1.239996980675e-78	5.654121226471e-57	1.673860095283e-40	4.781530711892e-28	1.001511120067e-18
1.850000000000e+00	0.000000000000e+00	1.232013384233e-297	1.047611553913e-224	1.587229451241e-169	1.919070416242e-127	3.538905258599e-95	2.280371676121e-70	2.734935032594e-51	1.168796847754e-36	1.641391858998e-25
1.950000000000e+00	0.000000000000e+00	0.000000000000e+00	5.507184617681e-258	1.217529668530e-196	1.341127162070e-149	2.683154340564e-113	3.578603513142e-85	2.405153816409e-63	2.030801106064e-46	2.431388675975e-33
2.050000000000e+00	0.000000000000e+00	0.000000000000e+00	1.467360683185e-293	9.157754780019e-226	1.582702652327e-173	5.404441049451e-133	2.185188736028e-101	1.138430915335e-76	2.508141467539e-57	3.255233299888e-42
2.150000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	6.754109311141e-257	3.154125907901e-199	2.891907006284e-154	5.191964877017e-119	2.900270393987e-91	2.201876433909e-69	3.939086018759e-52
