# Z_MID	BIN1	BIN2	BIN3	BIN4	BIN5	BIN6	BIN7	BIN8	BIN9	BIN10
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.005005e-03	5.941400e-04	7.142826e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.001001e-02	2.366938e-03	5.883149e-12	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.501502e-02	5.331091e-03	2.691933e-11	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.002002e-02	9.491806e-03	9.569567e-11	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.502503e-02	1.483529e-02	2.935546e-10	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.003003e-02	2.132724e-02	8.143518e-10	3.288228e-18	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.503504e-02	2.891433e-02	2.095027e-09	1.282701e-17	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.004004e-02	3.752707e-02	5.074726e-09	4.811380e-17	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.504505e-02	4.708328e-02	1.168948e-08	1.686904e-16	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.005005e-02	5.749184e-02	2.578346e-08	5.615358e-16	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.505506e-02	6.865631e-02	5.473244e-08	1.807876e-15	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.006006e-02	8.047829e-02	1.122465e-07	5.567501e-15	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.506507e-02	9.286033e-02	2.230660e-07	1.652347e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.007007e-02	1.057084e-01	4.306075e-07	4.726370e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.507508e-02	1.189335e-01	8.090743e-07	1.306725e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.008008e-02	1.324535e-01	1.482135e-06	3.499038e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.508509e-02	1.461935e-01	2.650992e-06	9.087817e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.009009e-02	1.600863e-01	4.635518e-06	2.292444e-12	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.509510e-02	1.740727e-01	7.933047e-06	5.623481e-12	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.001001e-01	1.881008e-01	1.330040e-05	1.342964e-11	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.051051e-01	2.021256e-01	2.186555e-05	3.125440e-11	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.101101e-01	2.161084e-01	3.527610e-05	7.094891e-11	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.151151e-01	2.300158e-01	5.589195e-05	1.572311e-10	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.201201e-01	2.438187e-01	8.702926e-05	3.404336e-10	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.251251e-01	2.574912e-01	1.332620e-04	7.206903e-10	2.898076e-17	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.301301e-01	2.710098e-01	2.007853e-04	1.492755e-09	9.130288e-17	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.351351e-01	2.843523e-01	2.978414e-04	3.027162e-09	2.868997e-16	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.401401e-01	2.974964e-01	4.352065e-04	6.013942e-09	8.327387e-16	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.451451e-01	3.104191e-01	6.267287e-04	1.171155e-08	2.222611e-15	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.501502e-01	3.230954e-01	8.899054e-04	2.236885e-08	5.889632e-15	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.551552e-01	3.354975e-01	1.246476e-03	4.192560e-08	1.523378e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.601602e-01	3.475938e-01	1.723009e-03	7.715129e-08	3.854398e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.651652e-01	3.593483e-01	2.351437e-03	1.394595e-07	9.518879e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.701702e-01	3.707197e-01	3.169519e-03	2.477413e-07	2.299683e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.751752e-01	3.816611e-01	4.221170e-03	4.327039e-07	5.435402e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.801802e-01	3.921197e-01	5.556619e-03	7.433864e-07	1.257475e-12	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.851852e-01	4.020369e-01	7.232360e-03	1.256761e-06	2.849188e-12	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.901902e-01	4.113481e-01	9.310848e-03	2.091613e-06	6.325766e-12	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.951952e-01	4.199836e-01	1.185991e-02	3.428244e-06	1.376800e-11	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.002002e-01	4.278695e-01	1.495185e-02	5.535906e-06	2.938989e-11	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.052052e-01	4.349287e-01	1.866225e-02	8.810339e-06	6.155817e-11	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.102102e-01	4.410821e-01	2.306848e-02	1.382416e-05	1.265672e-10	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.152152e-01	4.462507e-01	2.824788e-02	2.139329e-05	2.555556e-10	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.202202e-01	4.503574e-01	3.427578e-02	3.266295e-05	5.069382e-10	5.381697e-17	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.252252e-01	4.533291e-01	4.122326e-02	4.921695e-05	9.883288e-10	1.098366e-16	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.302302e-01	4.550988e-01	4.915486e-02	7.321389e-05	1.894485e-09	3.359797e-16	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.352352e-01	4.556078e-01	5.812618e-02	1.075539e-04	3.571797e-09	8.557779e-16	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.402402e-01	4.548081e-01	6.818161e-02	1.560789e-04	6.625917e-09	2.149107e-15	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.452452e-01	4.526639e-01	7.935215e-02	2.238076e-04	1.209825e-08	5.318362e-15	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.502503e-01	4.491533e-01	9.165340e-02	3.172065e-04	2.175038e-08	1.267661e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.552553e-01	4.442703e-01	1.050840e-01	4.444955e-04	3.851451e-08	2.972716e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.602603e-01	4.380250e-01	1.196241e-01	6.159832e-04	6.719515e-08	6.842703e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.652653e-01	4.304445e-01	1.352347e-01	8.444262e-04	1.155437e-07	1.544766e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.702703e-01	4.215728e-01	1.518572e-01	1.145403e-03	1.958779e-07	3.424959e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.752753e-01	4.114708e-01	1.694132e-01	1.537690e-03	3.274817e-07	7.459448e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.802803e-01	4.002148e-01	1.878051e-01	2.043620e-03	5.401080e-07	1.596560e-12	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.852853e-01	3.878957e-01	2.069173e-01	2.689411e-03	8.790066e-07	3.359014e-12	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.902903e-01	3.746171e-01	2.266171e-01	3.505437e-03	1.412033e-06	6.949390e-12	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.952953e-01	3.604935e-01	2.467570e-01	4.526422e-03	2.239541e-06	1.414271e-11	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.003003e-01	3.456476e-01	2.671764e-01	5.791534e-03	3.507939e-06	2.832129e-11	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.053053e-01	3.302085e-01	2.877045e-01	7.344348e-03	5.427991e-06	5.582488e-11	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.103103e-01	3.143088e-01	3.081624e-01	9.232670e-03	8.299126e-06	1.083461e-10	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.153153e-01	2.980822e-01	3.283661e-01	1.150819e-02	1.254127e-05	2.071108e-10	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.203203e-01	2.816610e-01	3.481297e-01	1.422596e-02	1.873589e-05	3.900550e-10	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.253253e-01	2.651741e-01	3.672680e-01	1.744367e-02	2.767806e-05	7.239522e-10	7.215492e-17	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.303303e-01	2.487448e-01	3.855993e-01	2.122079e-02	4.044160e-05	1.324584e-09	1.455737e-16	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.353353e-01	2.324886e-01	4.029487e-01	2.561741e-02	5.845921e-05	2.389771e-09	3.669916e-16	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.403403e-01	2.165125e-01	4.191500e-01	3.069307e-02	8.361958e-05	4.252648e-09	9.618652e-16	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.453453e-01	2.009130e-01	4.340490e-01	3.650533e-02	1.183831e-04	7.466301e-09	2.162269e-15	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.503504e-01	1.857755e-01	4.475054e-01	4.310824e-02	1.659177e-04	1.293625e-08	4.882326e-15	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.553554e-01	1.711738e-01	4.593945e-01	5.055081e-02	2.302551e-04	2.212484e-08	1.081723e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.603604e-01	1.571698e-01	4.696097e-01	5.887531e-02	3.164680e-04	3.736196e-08	2.368518e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.653654e-01	1.438135e-01	4.780630e-01	6.811575e-02	4.308669e-04	6.231093e-08	5.120378e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.703704e-01	1.311430e-01	4.846867e-01	7.829623e-02	5.812138e-04	1.026570e-07	1.087505e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.753754e-01	1.191854e-01	4.894338e-01	8.942959e-02	7.769507e-04	1.671111e-07	2.274024e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.803804e-01	1.079573e-01	4.922788e-01	1.015161e-01	1.029435e-03	2.688530e-07	4.685369e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.853854e-01	9.746538e-02	4.932169e-01	1.145424e-01	1.352179e-03	4.275787e-07	9.511558e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.903904e-01	8.770781e-02	4.922646e-01	1.284807e-01	1.761081e-03	6.723649e-07	1.902643e-12	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.953954e-01	7.867480e-02	4.894582e-01	1.432881e-01	2.274640e-03	1.045626e-06	3.751916e-12	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.004004e-01	7.034981e-02	4.848536e-01	1.589066e-01	2.914146e-03	1.608507e-06	7.295000e-12	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.054054e-01	6.271062e-02	4.785241e-01	1.752630e-01	3.703825e-03	2.448136e-06	1.398926e-11	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.104104e-01	5.573030e-02	4.705599e-01	1.922693e-01	4.670937e-03	3.687253e-06	2.646455e-11	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
